ne;tipo;Observação;A pagar; Cancelado; Inscritos; Pago
070023000012018NE000808;SERVICOS EXTRAORDINARIOS;PAGAMENTO FOLHA DE FOLHA SUPLEMENTAR REF EXERCICIOS ANTERIORES, ACERTO SERVIDOR HIGOR HENRIQUE C. LEITE AUTORIZADO CONFORME OFICIO - CIRCULAR TSE NR. 294/2019 GAB-DF NA DATA DE 17/12/2019. PAD 3032019;-601,21;NA;NA;601,21
070023000012018NE000808;SERVICOS EXTRAORDINARIOS;PAGAMENTO FOLHA DE FOLHA SUPLEMENTAR REF EXERCICIOS ANTERIORES, ACERTO SERVIDOR HIGOR HENRIQUE C. LEITE AUTORIZADO CONFORME OFICIO - CIRCULAR TSE NR. 294/2019 GAB-DF NA DATA DE 17/12/2019. PAD 3032019.;0;NA;NA;NA
070023000012018NE000808;SERVICOS EXTRAORDINARIOS;PAGAMENTO FOLHA DE FOLHA SUPLEMENTAR REF EXERCICIOS ANTERIORES, FIM DE REQUISICAO, AUTORIZADO CONFORME OFICIO - CIRCULAR TSE NR. 294/2019 GAB-DF NA DATA DE 17/12/2019, SERVIDORA WANIA VALE FERREORA, PAD 32632017.;-195,39;NA;NA;195,39
070023000012018NE000808;SERVICOS EXTRAORDINARIOS;NAO SE APLICA;0;NA;0;NA
070023000012018NE000808;SERVICOS EXTRAORDINARIOS;PAGAMENTO FOLHA DE FOLHA SUPLEMENTAR REF EXERCICIOS ANTERIORES, ACERTO SERVIDOR ADRIANA DA SILVA LIMA SANTOS AUTORIZADO CONFORME OFICIO - CIRCULAR TSE NR. 294/2019 GAB-DF NA DATA DE 17/12/2019. PAD 703/2019;0;NA;NA;NA
070023000012018NE000808;SERVICOS EXTRAORDINARIOS;PAGAMENTO FOLHA DE FOLHA SUPLEMENTAR REF EXERCICIOS ANTERIORES, ACERTO SERVIDOR ADRIANA DA SILVA LIMA SANTOS AUTORIZADO CONFORME OFICIO - CIRCULAR TSE NR. 294/2019 GAB-DF NA DATA DE 17/12/2019. PAD 7032019;0;NA;NA;0
070023000012018NE000808;SERVICOS EXTRAORDINARIOS;PAGAMENTO FOLHA DE FOLHA SUPLEMENTAR REF EXERCICIOS ANTERIORES, ACERTO SERVIDOR BENVINA AMORIM AUTORIZADO CONFORME OFICIO - CIRCULAR TSE NR. 294/2019 GAB-DF NA DATA DE 17/12/2019. PAD 2319/2017;0;NA;NA;0
070023000012018NE000808;SERVICOS EXTRAORDINARIOS;PAGAMENTO FOLHA DE FOLHA SUPLEMENTAR REF EXERCICIOS ANTERIORES, ACERTO SERVIDOR CLAUDIO HENRIQUE P. DA SILVA AUTORIZADO CONFORME OFICIO - CIRCULAR TSE NR. 294/2019 GAB-DF NA DATA DE 17/12/2019. PAD 5334/2017;0;NA;NA;0
070023000012018NE000808;SERVICOS EXTRAORDINARIOS;PAGAMENTO FOLHA DE FOLHA SUPLEMENTAR REF EXERCICIOS ANTERIORES, ACERTO SERVIDOR GISELLY CIRILO RABELO AUTORIZADO CONFORME OFICIO - CIRCULAR TSE NR. 294/2019 GAB-DF NA DATA DE 17/12/2019. PAD 75182019;0;NA;NA;0
070023000012018NE000808;SERVICOS EXTRAORDINARIOS;PAGAMENTO FOLHA DE FOLHA SUPLEMENTAR REF EXERCICIOS ANTERIORES, ACERTO SERVIDOR GISELLY CIRILO RABELO AUTORIZADO CONFORME OFICIO - CIRCULAR TSE NR. 294/2019 GAB-DF NA DATA DE 17/12/2019. PAD 75182019.;0;NA;NA;NA
070023000012018NE000808;SERVICOS EXTRAORDINARIOS;PAGAMENTO FOLHA DE FOLHA SUPLEMENTAR REF EXERCICIOS ANTERIORES, ACERTO SERVIDOR HIGOR HENRIQUE C. LEITE AUTORIZADO CONFORME OFICIO - CIRCULAR TSE NR. 294/2019 GAB-DF NA DATA DE 17/12/2019. PAD 3032019;0;NA;NA;0
070023000012018NE000808;SERVICOS EXTRAORDINARIOS;PAGAMENTO FOLHA DE FOLHA SUPLEMENTAR REF EXERCICIOS ANTERIORES, ACERTO SERVIDOR HIGOR HENRIQUE C. LEITE AUTORIZADO CONFORME OFICIO - CIRCULAR TSE NR. 294/2019 GAB-DF NA DATA DE 17/12/2019. PAD 3032019.;0;NA;NA;NA
070023000012018NE000808;SERVICOS EXTRAORDINARIOS;PAGAMENTO FOLHA DE FOLHA SUPLEMENTAR REF EXERCICIOS ANTERIORES, FIM DE REQUISICAO, AUTORIZADO CONFORME OFICIO - CIRCULAR TSE NR. 294/2019 GAB-DF NA DATA DE 17/12/2019, SERVIDORA WANIA VALE FERREORA, PAD 32632017.;0;NA;NA;0
070023000012018NE001541;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;NAO SE APLICA;75304,18;NA;75304,18;NA
070023000012018NE001541;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;NAO SE APLICA;0;NA;0;NA
070023000012018NE001541;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;CANCELAMENTO PARA ADEQUACAO FINANCEIRA POIS NAO HA MAIS PAGAMENTOS A SEREM    EMPLEMENTADOS.;-75304,18;75304,18;NA;NA
070023000012018NE001541;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;NAO SE APLICA;0;NA;0;NA
070023000012018NE001541;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL;CANCELAMENTO PARA ADEQUACAO FINANCEIRA POIS NAO HA MAIS PAGAMENTOS A SEREM    EMPLEMENTADOS.;0;0;NA;NA
070023000012018NE000428;LOCACAO DE MAQUINAS E EQUIPAMENTOS;NAO SE APLICA;0,06;NA;0,06;NA
070023000012018NE000428;LOCACAO DE MAQUINAS E EQUIPAMENTOS;NAO SE APLICA;0;NA;0;NA
070023000012018NE000428;LOCACAO DE MAQUINAS E EQUIPAMENTOS;CANCELAMENTO PARA ADEQUACAO FINANCEIRA POIS NAO HA MAIS PAGAMENTOS A SEREM    EMPLEMENTADOS.;-0,06;0,06;NA;NA
070023000012018NE000428;LOCACAO DE MAQUINAS E EQUIPAMENTOS;NAO SE APLICA;0;NA;0;NA
070023000012018NE000428;LOCACAO DE MAQUINAS E EQUIPAMENTOS;CANCELAMENTO PARA ADEQUACAO FINANCEIRA POIS NAO HA MAIS PAGAMENTOS A SEREM    EMPLEMENTADOS.;0;0;NA;NA
070023000012019NE000165;SERV. DE APOIO ADMIN., TECNICO E OPERACIONAL;NAO SE APLICA;35506,51;NA;35506,51;NA
070023000012019NE000824;SERV. DE APOIO ADMIN., TECNICO E OPERACIONAL;NAO SE APLICA;5781,84;NA;5781,84;NA
070023000012019NE000165;SERV. DE APOIO ADMIN., TECNICO E OPERACIONAL;NAO SE APLICA;0;NA;0;NA
070023000012019NE000824;SERV. DE APOIO ADMIN., TECNICO E OPERACIONAL;NAO SE APLICA;0;NA;0;NA
070023000012019NE000165;SERV. DE APOIO ADMIN., TECNICO E OPERACIONAL;NAO SE APLICA;0;NA;0;NA
070023000012019NE000824;SERV. DE APOIO ADMIN., TECNICO E OPERACIONAL;NAO SE APLICA;0;NA;0;NA
070023000012020NE000254;LOCACAO DE MAQUINAS E EQUIPAMENTOS;PAGAMENTO NF 182, EMITIDA EM 04/02/2020, REFERENTE A PRESTACAO DE SERVICOS DE DE 01 (UMA) EMPILHADEIRA ELETRICA E DEMAIS ITENS CONSTANTES NA DISCRIMINACAO DOS SERVICOS. CONTRATO: TRE-GO N� 30/2016. PRESTACAO DOS SERVICOS: 01/01/2020 A 31/01/2020. EMPRESA OPTANTE PELO SIMPLES NACIONAL. PAD 12272020.;NA;NA;NA;NA
070023000012020NE000254;LOCACAO DE MAQUINAS E EQUIPAMENTOS;RECOLHIMENTO DE ISS DEVIDO AO MUNICIPIO DE GOIANIA-GO, INCIDENTE SOBRE A NF 182, EMITIDA EM 04/02/2020, NO VALOR DE R$ 3300,42. AL. 4,53 PP. PAD 1227/2020.;NA;NA;NA;NA
070023000012020NE000254;LOCACAO DE MAQUINAS E EQUIPAMENTOS;16CT0030 - PRESTACAO DE SERVICOS DE LOCACAO DE 01 (UMA) EMPILHADEIRA  ELETRICAE DEMAIS ITENS CONSTANTES DO INSTRUMENTO DE CONTRATO, PARA O PERIODO DE 01/01/2020 A 31/12/2020. VALOR MENSAL DE R$ 3.300,42. VALOR ANUAL DE R$ 39.605,04.;NA;NA;NA;NA
070023000012020NE000250;SERV. DE APOIO ADMIN., TECNICO E OPERACIONAL;CORRECAO DA DATA DE VENCIMENTO DA GUIA.;NA;NA;NA;NA
070023000012020NE000250;SERV. DE APOIO ADMIN., TECNICO E OPERACIONAL;CORRECAO DA DATA DE VENCIMENTO.;NA;NA;NA;NA
070023000012020NE000250;SERV. DE APOIO ADMIN., TECNICO E OPERACIONAL;PAGAMENTO DA NF 665 EMITIDA EM 06/02/2020, VALOR BRUTO R$ 23.388,42 SERVICOS DE AUXILIAR DE DEPOSITO/ALMOXARIFADO. CONTRATO TRE-GO N� 50/2019. JANEIRO/2020. RETENCAO/GLOSA DE R$ 2.890,92 A RECOLHER EM CONTA VINCULADA NOS TERMOS DA RES. 169/2013-CNJ.;NA;NA;NA;NA
070023000012020NE000250;SERV. DE APOIO ADMIN., TECNICO E OPERACIONAL;PAGAMENTO DA NF 666 EMITIDA EM 06/02/2020, NO VALOR DE R$ 904,52, REFERENTE AO REEMBOLSO POR 06 DIARIAS FORNECIDAS. SERVICOS DE AUXILIAR DE DEPOSITO/ALMOXARIFADO. CONTRATO TRE-GO N� 50/2019. JANEIRO/2020.;NA;NA;NA;NA
070023000012020NE000250;SERV. DE APOIO ADMIN., TECNICO E OPERACIONAL;RETENCAO DE CONTRIBUICAO PREVIDENCIARIA INCIDENTE SOBRE A NF 665, EMITIDA EM 06/02/2020, NO VALOR DE R$ 23.388,42. AL. 11 PP. PAD 1532/2020.;NA;NA;NA;NA
070023000012020NE000250;SERV. DE APOIO ADMIN., TECNICO E OPERACIONAL;RETENCAO DE ISS INCIDENTE SOBRE A NF 665, EMITIDA EM 06/02/2020, NO VALOR DE R$ 23.388,42. AL. 5 PP. PAD 1532/2020.;NA;NA;NA;NA
070023000012020NE000250;SERV. DE APOIO ADMIN., TECNICO E OPERACIONAL;RETENCAO DE TRIBUTOS FEDERAIS INCIDENTES SOBRE A NF 665, EMITIDA EM 06/02/2020, NO VALOR DE R$ 23.388,42. AL. 9,45 PP. PAD 1532/2020.;NA;NA;NA;NA
070023000012020NE000250;SERV. DE APOIO ADMIN., TECNICO E OPERACIONAL;RETENCAO/GLOSA DE R$ 2.890,92, A RECOLHER EM CONTA VINCULADA, NOS TERMOS DA RES. 169/2013-CNJ, INCIDENTE SOBRE A NF 665, EMITIDA EM 06/02/2020, COM O VALOR BRUTO DE R$ 23.388,42. SERVICOS DE AUXILIAR DE DEPOSITO/ALMOXARIFADO. CONTRATO TRE-GO N� 50/2019. JANEIRO/2020.;NA;NA;NA;NA
070023000012020NE000250;SERV. DE APOIO ADMIN., TECNICO E OPERACIONAL;19CT0050 - SERVICOS DE CONTROLE, MOVIMENTACAO DE ESTOQUE, DEPOSITO E ARMAZENA-MENTO DE URNAS ELETRONICAS EM GOIANIA. PAD 3245/2019.;NA;NA;NA;NA
070023000012018NE001051;LOCACAO DE MEIOS DE TRANSPORTE;NAO SE APLICA;775,19;NA;775,19;NA
070023000012018NE001051;LOCACAO DE MEIOS DE TRANSPORTE;NAO SE APLICA;0;NA;0;NA
070023000012018NE001051;LOCACAO DE MEIOS DE TRANSPORTE;CANCELAMENTO PARA ADEQUACAO FINANCEIRA POIS NAO HA MAIS PAGAMENTOS A SEREM    EMPLEMENTADOS.;-775,19;775,19;NA;NA
070023000012018NE001051;LOCACAO DE MEIOS DE TRANSPORTE;NAO SE APLICA;0;NA;0;NA
070023000012018NE001051;LOCACAO DE MEIOS DE TRANSPORTE;CANCELAMENTO PARA ADEQUACAO FINANCEIRA POIS NAO HA MAIS PAGAMENTOS A SEREM    EMPLEMENTADOS.;0;0;NA;NA
070023000012018NE000449;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;NAO SE APLICA;23327,66;NA;23327,66;NA
070023000012018NE000449;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;NAO SE APLICA;0;NA;0;NA
070023000012018NE000449;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;NAO SE APLICA;0;NA;0;NA
070023000012018NE001220;RESTITUICOES;NAO SE APLICA;5461,38;NA;5461,38;NA
070023000012018NE001220;RESTITUICOES;NAO SE APLICA;0;NA;0;NA
070023000012018NE001220;RESTITUICOES;CANCELAMENTO PARA ADEQUACAO FINANCEIRA POIS NAO HA MAIS PAGAMENTOS A SEREM    EMPLEMENTADOS.;-5411,38;5411,38;NA;NA
070023000012018NE001220;RESTITUICOES;NAO SE APLICA;0;NA;0;NA
070023000012018NE001220;RESTITUICOES;CANCELAMENTO PARA ADEQUACAO FINANCEIRA POIS NAO HA MAIS PAGAMENTOS A SEREM    EMPLEMENTADOS.;0;0;NA;NA
070023000012018NE000822;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;NAO SE APLICA;616773,22;NA;616773,22;NA
070023000012018NE000822;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;NAO SE APLICA;0;NA;0;NA
070023000012018NE000822;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;NAO SE APLICA;0;NA;0;NA
070023000012019NE000537;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;NAO SE APLICA;6416,08;NA;6416,08;NA
070023000012019NE000605;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;NAO SE APLICA;1523,65;NA;1523,65;NA
070023000012019NE000537;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;NAO SE APLICA;0;NA;0;NA
070023000012019NE000605;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;NAO SE APLICA;0;NA;0;NA
070023000012019NE000537;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;NAO SE APLICA;0;NA;0;NA
070023000012019NE000605;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;LIBERACAO DO VALOR CONSOLIDADO DE R$ 566,15 (QUINHENTOS E SESSENTA E SEIS REAIS E QUINZE CENTAVOS), ATINENTES AS 1� E 2� PARCELAS DO 13� SALARIO (EXERCICIO/2019 � DOC. 009774/2020), DEPOSITADO EM CONTA VINCULADA, A EMPRESA CONGONHAS AIR SMILE ODONTOLOGIA LTDA EPP, COM BASE NA PORTARIA PRES. 70/2019 E CONTRATO TRE-GO N� 32/2019. NESTA ORDEM BANCARIA ESTA SENDO PAGO O VALOR DE 38,25 COMPLEMENTANDO O PAGAMENTO REALIZADO NESTA DATA DE R$ 38,25, TOTALIZANDO R$ 566,15.;-38,25;NA;NA;38,25
070023000012019NE000605;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;LIBERACAO DO VALOR CONSOLIDADO DE R$ 566,15 (QUINHENTOS E SESSENTA E SEIS REAIS E QUINZE CENTAVOS), ATINENTES AS 1� E 2� PARCELAS DO 13� SALARIO (EXERCICIO/2019 � DOC. 009774/2020), DEPOSITADO EM CONTA VINCULADA, A EMPRESA CONGONHAS AIR SMILE ODONTOLOGIA LTDA EPP, COM BASE NA PORTARIA PRES. N� 70/2019 E CONTRATO TRE-GO N� 32/2019. NESTA ORDEM BANCARIA ESTA SENDO PAGO O VALOR DE 527,90 E SERA EMITIDA OB COMPLEMENTAR DE R$ 38,25, TOTALIZANDO R$ 566,15.;-527,9;NA;NA;527,9
070023000012019NE000605;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;NAO SE APLICA;0;NA;0;NA
070023000012019NE000028;DIARIAS NO PAIS;NAO SE APLICA;8965,55;NA;8965,55;NA
070023000012019NE000028;DIARIAS NO PAIS;NAO SE APLICA;0;NA;0;NA
070023000012019NE000028;DIARIAS NO PAIS;DADOS;-7915,55;7915,55;NA;NA
070023000012019NE000028;DIARIAS NO PAIS;NAO SE APLICA;0;NA;0;NA
070023000012019NE000031;INDENIZACOES;NAO SE APLICA;48116,71;NA;48116,71;NA
070023000012019NE000031;INDENIZACOES;NAO SE APLICA;0;NA;0;NA
070023000012019NE000031;INDENIZACOES;PAGAMENTO - REEMBOLSO - OFICIAL DE JUSTICA - REF. DEZEMBRO/2019 - 040 ZE - WASHINGTON LUIS MOREIRA BARROS. PAD 225/2020.;-118,88;NA;NA;118,88
070023000012019NE000031;INDENIZACOES;REEMBOLSO - OFICIAL DE JUSTICA - 077 ZONA ELEITORAL - ITAPURANGA/GO - DEZEMBRO/ 2019 - MARGARETH ASSUNCAO CAMPOS - PAD 251/2020.;-423,56;NA;NA;423,56
070023000012019NE000031;INDENIZACOES;REEMBOLSO - OFICIAL DE JUSTICA - 099 ZONA ELEITORAL - REF. DEZEMBRO/2019 - GISELLY ROCHA DOS SANTOS - PAD 932/2020.;-236,59;NA;NA;236,59
070023000012019NE000031;INDENIZACOES;REEMBOLSO - OFICIAL DE JUSTICA - 15 ZONA ELEITORAL - ITABERAI/GO - REF. DEZEMBRO/2019 - CLAUDIO MATIAS ALVES - PAD 622/2020.;-231,78;NA;NA;231,78
070023000012019NE000031;INDENIZACOES;REEMBOLSO - OFICIAL DE JUSTICA - SECRETARIA - GOIANIA/GO - DEZEMBRO/2019 - SILVANA GOMES DOS SANTOS - PAD 13103/2019.;-258,38;NA;NA;258,38
070023000012019NE000031;INDENIZACOES;REEMBOLSO - OFICIAL DE JUSTICA - SECRETARIA - GOIANIA/GO - DEZEMBRO/2019 - SILVANA GOMES DOS SANTOS - PAD 377/2020.;-215,75;NA;NA;215,75
070023000012019NE000031;INDENIZACOES;REEMBOLSO DO VALOR SOBRESTADO - OFICIAL DE JUSTICA - 042 ZONA ELEITORAL - CIDADE OCIDENTAL/GO - NOVEMBRO/2019 - ROBSON ALVES DA SILVA - PAD 13264/2019.;-26,94;NA;NA;26,94
070023000012019NE000031;INDENIZACOES;REEMBOLSO DO VALOR SOBRESTADO - OFICIAL DE JUSTICA - 085 ZONA ELEITORAL - CRIXAS/GO - NOVEMBRO/2019 - MICHEL YAMAGUCHI - PAD 13226/2019.;-492,33;NA;NA;492,33
070023000012019NE000031;INDENIZACOES;REEMBOLSO DO VALOR SOBRESTADO - OFICIAL DE JUSTICA - 7 ZONA ELEITORAL - CALDAS NOVAS/GO - NOVEMBRO/2019 - DIEGO GOMES DO NASCIMENTO. PAD 13310/2019.;-59,1;NA;NA;59,1
070023000012019NE000031;INDENIZACOES;REEMBOLSO DO VALOR SOBRESTADO. OFICIAL DE JUSTICA - 12 ZONA ELEITORAL - GOIAS/GO - NOVEMBRO/2019 - JOSE SABINO DANTAS - PAD 12974/2019.;-166,37;NA;NA;166,37
070023000012019NE000031;INDENIZACOES;REEMBOLSO OFICIAL DE JUSTICA - 007 ZONA ELEITORAL - CALDAS NOVAS/GO - DEZEMBRO/2019 -  DIEGO GOMES REIS DO NASCIMENTO. PAD 315/2020.;-55,94;NA;NA;55,94
070023000012019NE000031;INDENIZACOES;REEMBOLSO OFICIAL DE JUSTICA - 007 ZONA ELEITORAL - CALDAS NOVAS/GO - DEZEMBRO/2019 -  DIEGO GOMES REIS DO NASCIMENTO. PAD 316/2020.;-55,94;NA;NA;55,94
070023000012019NE000031;INDENIZACOES;REEMBOLSO OFICIAL DE JUSTICA - 007 ZONA ELEITORAL - CALDAS NOVAS/GO - DEZEMBRO/2019 - RIBAMAR RABELO DE MOURA. PAD 319/2020.;-111,88;NA;NA;111,88
070023000012019NE000031;INDENIZACOES;REEMBOLSO OFICIAL DE JUSTICA - 019 ZONA ELEITORAL - LUZIANIA/GO - DEZEMBRO/2019 -  RODOLFO ACELINO DE OLIVEIRA DA CONCEICAO. PAD 321/2020.;-55,94;NA;NA;55,94
070023000012019NE000031;INDENIZACOES;REEMBOLSO OFICIAL DE JUSTICA - 019 ZONA ELEITORAL - LUZIANIA/GO - DEZEMBRO/2019 -  THIAGO AUGUSTO RESENDE BRAZ. PAD 317/2020.;-111,88;NA;NA;111,88
070023000012019NE000031;INDENIZACOES;REEMBOLSO OFICIAL DE JUSTICA - 024 ZONA ELEITORAL - SANTO ANTONIO DO DESCOBERTO/GO - DEZEMBRO/2019 -  REGINALDO LOURENCO DOS SANTOS. CUMPRIMENTO DE DILIGENCIAS PARA O MINISTERIO PUBLICO ELEITORAL. PAD 302/2020.;-233,76;NA;NA;233,76
070023000012019NE000031;INDENIZACOES;REEMBOLSO OFICIAL DE JUSTICA - 024 ZONA ELEITORAL - SANTO ANTONIO DO DESCOBERTO/GO - DEZEMBRO/2019 -  REGINALDO LOURENCO DOS SANTOS. PAD 298/2020.;-111,88;NA;NA;111,88
070023000012019NE000031;INDENIZACOES;REEMBOLSO OFICIAL DE JUSTICA - 035 ZONA ELEITORAL - ARAGARCAS/GO - DEZEMBRO/2019 -  RONALDO CHAVES GOUVEIA. PAD 312/2020.;-657,98;NA;NA;657,98
070023000012019NE000031;INDENIZACOES;REEMBOLSO OFICIAL DE JUSTICA - 050 ZONA ELEITORAL - URUACU/GO - DEZEMBRO/2019 -  WESLEY SANKEL DA SILVA LIMA. PAD 313/2020.;-623,46;NA;NA;623,46
070023000012019NE000031;INDENIZACOES;REEMBOLSO OFICIAL DE JUSTICA - 085 ZONA ELEITORAL - CRIXAS/GO - DEZEMBRO/2019 - MICHEL YAMAGUCHI - PAD 0089/2020.;-737,88;NA;NA;737,88
070023000012019NE000031;INDENIZACOES;REEMBOLSO OFICIAL DE JUSTICA - 30 ZONA ELEITORAL - RIO VERDE/GO - DEZEMBRO/2019 - ESSIO DOS REIS SANTOS. PAD 0117/2020.;-279,7;NA;NA;279,7
070023000012019NE000031;INDENIZACOES;REEMBOLSO OFICIAL DE JUSTICA - 38 ZONA ELEITORAL - GOIATUBA/GO - DEZEMBRO/2019 - JORGE AGOSTINHO EUGENIO. PAD 14061/2019.;-55,94;NA;NA;55,94
070023000012019NE000031;INDENIZACOES;REEMBOLSO OFICIAL DE JUSTICA - 66 ZONA ELEITORAL - SANTA HELENA DE GOIAS/GO - DEZEMBRO/2019 - ADAO LUIZ PINTO. PAD 202/2020.;-423,56;NA;NA;423,56
070023000012019NE000031;INDENIZACOES;REEMBOLSO OFICIAL DE JUSTICA - GOIANIA/GO - DEZEMBRO/2019 - KARLA BARROS COSTA - PAD 13101/2019.;-285;NA;NA;285
070023000012019NE000031;INDENIZACOES;REEMBOLSO OFICIAL DE JUSTICA - GOIANIA/GO - DEZEMBRO/2019 - KARLA BARROS COSTA. PAD 166/2020.;-354,25;NA;NA;354,25
070023000012019NE000031;INDENIZACOES;REEMBOLSO OFICIAL DE JUSTICA - GOIANIA/GO - DEZEMBRO/2019 - KARLA BARROS COSTA. PAD 378/2020.;-293;NA;NA;293
070023000012019NE000031;INDENIZACOES;NAO SE APLICA;0;NA;0;NA
070023000012019NE000031;INDENIZACOES;PAGAMENTO - REEMBOLSO - OFICIAL DE JUSTICA - REF. DEZEMBRO/2019 - 040 ZE - WASHINGTON LUIS MOREIRA BARROS. PAD 225/2020.;0;NA;NA;0
070023000012019NE000031;INDENIZACOES;REEMBOLSO - OFICIAL DE JUSTICA - 077 ZONA ELEITORAL - ITAPURANGA/GO - DEZEMBRO/ 2019 - MARGARETH ASSUNCAO CAMPOS - PAD 251/2020.;0;NA;NA;0
070023000012019NE000031;INDENIZACOES;REEMBOLSO - OFICIAL DE JUSTICA - 099 ZONA ELEITORAL - REF. DEZEMBRO/2019 - GISELLY ROCHA DOS SANTOS - PAD 932/2020.;0;NA;NA;0
